"reason"	"schemaname"	"tablename"	"indexname"	"index_scan_pct"	"scans_per_write"	"index_size"	"table_size"
"Never Used Indexes"	"public"	"reports_clean_20120604"	"reports_clean_20120604_sig_prod_date"	0.00	0.00	"146 MB"	"757 MB"
"Never Used Indexes"	"public"	"reports_clean_20130107"	"reports_clean_20130107_sig_prod_date"	0.00	0.00	"145 MB"	"682 MB"
"Never Used Indexes"	"public"	"reports_clean_20121015"	"reports_clean_20121015_sig_prod_date"	0.00	0.00	"144 MB"	"648 MB"
"Never Used Indexes"	"public"	"reports_clean_20120102"	"reports_clean_20120102_product_version_id"	0.00	0.00	"142 MB"	"784 MB"
"Never Used Indexes"	"public"	"reports_clean_20121210"	"reports_clean_20121210_sig_prod_date"	0.00	0.00	"142 MB"	"640 MB"
"Never Used Indexes"	"public"	"reports_clean_20120409"	"reports_clean_20120409_hang_id"	0.00	0.00	"141 MB"	"756 MB"
"Never Used Indexes"	"public"	"reports_clean_20120618"	"reports_clean_20120618_product_version_id"	0.00	0.00	"141 MB"	"1066 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_signature_id"	0.00	0.00	"140 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20120116"	"reports_clean_20120116_sig_prod_date"	0.00	0.00	"139 MB"	"756 MB"
"Never Used Indexes"	"public"	"reports_clean_20130325"	"reports_clean_20130325_sig_prod_date"	0.00	0.00	"139 MB"	"595 MB"
"Never Used Indexes"	"public"	"reports_clean_20121112"	"reports_clean_20121112_sig_prod_date"	0.00	0.00	"139 MB"	"602 MB"
"Never Used Indexes"	"public"	"correlations_addon"	"ix_correlations_addon_report_date"	0.00	0.00	"139 MB"	"510 MB"
"Never Used Indexes"	"public"	"reports_clean_20130211"	"reports_clean_20130211_sig_prod_date"	0.00	0.00	"139 MB"	"614 MB"
"Never Used Indexes"	"public"	"reports_clean_20120611"	"reports_clean_20120611_product_version_id"	0.00	0.00	"139 MB"	"993 MB"
"Never Used Indexes"	"public"	"reports_clean_20120903"	"reports_clean_20120903_sig_prod_date"	0.00	0.00	"138 MB"	"618 MB"
"Never Used Indexes"	"public"	"reports_clean_20120402"	"reports_clean_20120402_hang_id"	0.00	0.00	"138 MB"	"740 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_domain_id"	0.00	0.00	"138 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_arch_cores"	0.00	0.00	"137 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_product_version_id"	0.00	0.00	"137 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20120123"	"reports_clean_20120123_product_version_id"	0.00	0.00	"137 MB"	"750 MB"
"Never Used Indexes"	"public"	"reports_clean_20120109"	"reports_clean_20120109_hang_id"	0.00	0.00	"137 MB"	"722 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_flash_version_id"	0.00	0.00	"137 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_os_name"	0.00	0.00	"136 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_address_id"	0.00	0.00	"136 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_os_version_id"	0.00	0.00	"136 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_process_type"	0.00	0.00	"136 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20121112"	"reports_clean_20121112_hang_id"	0.00	0.00	"136 MB"	"602 MB"
